participant, current_v_v, current_v_t, current_v_b, current_v_p, current_t_v, current_t_t, current_t_b, current_t_p, current_b_v, current_b_t, current_b_b, current_b_p, current_p_v, current_p_t, current_p_b, current_p_p
1, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 3, 6, 0, 1, 1
2, 4, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 3
3, 1, 1, 0, 2, 0, 0, 0, 3, 1, 0, 0, 0, 2, 2, 0, 3
4, 3, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0, 2, 0, 0, 3
5, 0, 0, 2, 1, 1, 0, 1, 0, 1, 2, 1, 2, 2, 0, 1, 2
6, 0, 2, 0, 2, 0, 0, 1, 1, 2, 0, 1, 0, 2, 0, 1, 4
7, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 3
8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 6
9, 1, 0, 0, 3, 0, 0, 0, 1, 1, 0, 0, 2, 3, 1, 2, 2
10, 0, 3, 1, 4, 1, 0, 6, 0, 4, 0, 0, 4, 3, 5, 0, 0
11, 0, 2, 0, 6, 0, 0, 5, 1, 7, 0, 0, 1, 1, 5, 2, 0
12, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 6
13, 0, 1, 2, 3, 0, 0, 0, 2, 4, 1, 0, 1, 3, 0, 3, 2
14, 1, 2, 1, 0, 2, 0, 1, 3, 0, 2, 1, 1, 1, 2, 1, 0
15, 0, 4, 1, 3, 2, 0, 4, 2, 1, 3, 1, 3, 5, 1, 1, 0
16, 4, 1, 2, 0, 1, 0, 1, 0, 3, 1, 0, 0, 0, 0, 0, 0
17, 2, 0, 2, 2, 0, 3, 1, 2, 3, 1, 0, 1, 2, 2, 1, 0
18, 0, 1, 0, 1, 1, 0, 0, 2, 1, 1, 0, 0, 0, 2, 1, 5
19, 5, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0, 1
20, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 2, 3, 1, 1, 0, 3
21, 1, 1, 2, 3, 0, 0, 0, 2, 3, 0, 0, 1, 3, 1, 2, 2
22, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 5
23, 1, 1, 2, 1, 0, 1, 1, 1, 3, 1, 0, 1, 1, 1, 1, 1
24, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 7
25, 1, 0, 0, 2, 0, 0, 0, 0, 2, 0, 1, 1, 0, 1, 2, 4
26, 2, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 2, 0, 0, 2
27, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 3, 1, 1, 0, 1, 2
29, 0, 4, 2, 1, 2, 0, 2, 2, 2, 2, 0, 3, 3, 1, 2, 2
30, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 2, 2, 1, 1, 4
31, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1, 0, 1, 5
32, 5, 0, 1, 1, 1, 0, 2, 0, 2, 1, 0, 1, 0, 2, 0, 0
33, 0, 1, 1, 1, 2, 1, 5, 0, 2, 4, 0, 1, 0, 2, 0, 1
34, 0, 2, 3, 3, 1, 0, 0, 3, 4, 2, 0, 1, 3, 0, 4, 1
35, 3, 1, 0, 3, 1, 0, 0, 0, 2, 1, 0, 1, 1, 0, 3, 1
36, 1, 1, 3, 2, 2, 1, 2, 2, 2, 2, 0, 3, 3, 3, 1, 1
37, 0, 0, 1, 3, 0, 1, 0, 2, 2, 0, 1, 1, 2, 2, 1, 2
38, 2, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 2, 2, 1, 0, 3
39, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 3, 4, 0, 1, 3, 0
40, 0, 1, 1, 6, 5, 0, 2, 1, 1, 6, 0, 1, 2, 1, 4, 0
41, 2, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 3, 3, 1, 0, 2
42, 2, 1, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 4
43, 1, 2, 2, 2, 1, 0, 4, 3, 2, 3, 0, 2, 4, 3, 0, 1
